canonical_year,proposed_episode_number,canonical_date,date_source,reported_episode_number,title,status,rss_episode_id,master_audio_source,master_source_reference,preferred_local_file,master_relative_path,metadata_flags,review_flags
2010,1,2010-05-25,filename+year-folder,,,local-only,,local,"2010/20100525-04(songs Dan Doesn't know, cookies, and lots of illegal things such as theft).mp3","2010/20100525-04(songs Dan Doesn't know, cookies, and lots of illegal things such as theft).mp3",Master/2010/05/2010-05-25__S2010E001__episode.mp3,Title missing from embedded metadata,
2010,2,2010-06-08,file-modified-year+filename+year-folder,,,local-only,,local,2010/20100608-05.mp3,2010/20100608-05.mp3,Master/2010/06/2010-06-08__S2010E002__episode.mp3,Title missing from embedded metadata,
2010,3,2010-06-15,file-modified-year+filename+year-folder,,,local-only,,local,2010/20100615-09.mp3,2010/20100615-09.mp3,Master/2010/06/2010-06-15__S2010E003__episode.mp3,Title missing from embedded metadata,
2010,4,2010-06-22,file-modified-year+filename+year-folder,,,local-only,,local,2010/20100622-03.mp3,2010/20100622-03.mp3,Master/2010/06/2010-06-22__S2010E004__episode.mp3,Title missing from embedded metadata,
2010,5,2010-06-29,file-modified-year+filename+year-folder,,,local-only,,local,2010/20100629-04.mp3,2010/20100629-04.mp3,Master/2010/06/2010-06-29__S2010E005__episode.mp3,Title missing from embedded metadata,
2010,6,2010-07-06,file-modified-year+filename+year-folder,,,local-only,,local,2010/20100706-03.mp3,2010/20100706-03.mp3,Master/2010/07/2010-07-06__S2010E006__episode.mp3,Title missing from embedded metadata,
2010,7,2010-07-12,file-modified-year+filename+year-folder,,,local-only,,local,2010/07122010.mp3,2010/07122010.mp3,Master/2010/07/2010-07-12__S2010E007__episode.mp3,Title missing from embedded metadata,
2010,8,2010-07-20,file-modified-year+filename+year-folder,,,local-only,,local,2010/20100720.mp3,2010/20100720.mp3,Master/2010/07/2010-07-20__S2010E008__episode.mp3,Title missing from embedded metadata,
2010,9,2010-07-20,file-modified-year+filename+year-folder,,,local-only,,local,2010/20100720-03.mp3,2010/20100720-03.mp3,Master/2010/07/2010-07-20__S2010E009__episode.mp3,Title missing from embedded metadata,
2010,10,2010-07-27,file-modified-year+filename+year-folder,,,local-only,,local,2010/20100727-06.mp3,2010/20100727-06.mp3,Master/2010/07/2010-07-27__S2010E010__episode.mp3,Title missing from embedded metadata,
2010,11,2010-08-03,file-modified-year+filename+year-folder,,,local-only,,local,2010/20100803.mp3,2010/20100803.mp3,Master/2010/08/2010-08-03__S2010E011__episode.mp3,Title missing from embedded metadata,
2010,12,2010-08-10,file-modified-year+filename+year-folder,,,local-only,,local,2010/20100810.mp3,2010/20100810.mp3,Master/2010/08/2010-08-10__S2010E012__episode.mp3,Title missing from embedded metadata,
2010,13,2010-08-17,file-modified-year+filename+year-folder,,,local-only,,local,2010/20100817.mp3,2010/20100817.mp3,Master/2010/08/2010-08-17__S2010E013__episode.mp3,Title missing from embedded metadata,
2010,14,2010-08-24,file-modified-year+filename+year-folder,,,local-only,,local,2010/20100824.mp3,2010/20100824.mp3,Master/2010/08/2010-08-24__S2010E014__episode.mp3,Title missing from embedded metadata,
2010,15,2010-08-30,file-modified-year+filename+year-folder,,,local-only,,local,2010/20100830.mp3,2010/20100830.mp3,Master/2010/08/2010-08-30__S2010E015__episode.mp3,Title missing from embedded metadata,
2010,16,2010-09-06,file-modified-year+filename+year-folder,,,local-only,,local,2010/20100906.mp3,2010/20100906.mp3,Master/2010/09/2010-09-06__S2010E016__episode.mp3,Title missing from embedded metadata,
2010,17,2010-09-13,file-modified-year+filename+year-folder,,,local-only,,local,2010/20100913.mp3,2010/20100913.mp3,Master/2010/09/2010-09-13__S2010E017__episode.mp3,Title missing from embedded metadata,
2010,18,2010-09-20,file-modified-year+filename+year-folder,,,local-only,,local,2010/20100920 (1).mp3,2010/20100920 (1).mp3,Master/2010/09/2010-09-20__S2010E018__episode.mp3,Title missing from embedded metadata,
2010,19,2010-09-27,file-modified-year+filename+year-folder,,,local-only,,local,2010/20100927 (1).mp3,2010/20100927 (1).mp3,Master/2010/09/2010-09-27__S2010E019__episode.mp3,Title missing from embedded metadata,
2010,20,2010-10-04,file-modified-year+filename+year-folder,,,local-only,,local,2010/20101004 (1).mp3,2010/20101004 (1).mp3,Master/2010/10/2010-10-04__S2010E020__episode.mp3,Title missing from embedded metadata,
2010,21,2010-10-15,filename+year-folder,,,local-only,,local,2010/20101015.mp3,2010/20101015.mp3,Master/2010/10/2010-10-15__S2010E021__episode.mp3,,
2010,22,2010-10-18,file-modified-year+filename+year-folder,,,local-only,,local,2010/20101018 (1).mp3,2010/20101018 (1).mp3,Master/2010/10/2010-10-18__S2010E022__episode.mp3,Title missing from embedded metadata,
