broadcast_date,source_episode_id,title,description,disposition,matched_master_dates,matched_local_files,nearest_master_dates,source_url
2010-03-20,43,Might As Well Get Started,,source-only-candidate,,,,https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=43
2010-03-27,47,Round II,"Could be anything, really. Swing by for the chat.",source-only-candidate,,,,https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=47
2010-04-05,52,Ragu or Walgu?,,source-only-candidate,,,,https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=52
2010-04-12,59,"Fast Food, the Holy Spirit, and Kidney Stones",,source-only-candidate,,,,https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=59
2010-04-19,62,Something Different,"Well, maybe not something different. Matt Cassidy guest hosts this week and we'll be Skyping ol' Pants and maybe Dan. We'll be talking about...um, probably food and Jesus again.",source-only-candidate,,,,https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=62
2010-04-26,63,Who's Nelson?,"The normal crew is back again. Pants Skype-fest Round II, plus your chat.",source-only-candidate,,,,https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=63
2010-05-03,78,Series of Firsts,Live music from the Path as well as why the eye doctor and dentist are a sham.,source-only-candidate,,,,https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=78
2010-05-10,105,Peanut Butter and Whiskey,"Full studio, special musical guest Danielle Hudson, and the revelation that Pastor Dan uses an armpit toupee'",source-only-candidate,,,,https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=105
2010-05-17,116,Clean Van With Nowhere To Go,"Danielle Hudson will be our musical guest this week. No telling what the discussion will be, but a friend from last week may make an appearance.",source-only-candidate,,,,https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=116
2010-05-24,142,Clear With A Chance Of Cookies,Hopefully some food will show up.,matched-one-master,2010-05-25,"2010/20100525-04(songs Dan Doesn't know, cookies, and lots of illegal things such as theft).mp3",2010-05-25 (1d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=142
2010-05-31,143,Clearly The Buick Was The Winner,"We've booked Burl Ives for this week. What? What do you mean Burl Ives is dead? Boy, his publicist sure puts a happy spin on it. In his place, candidate for Congress in Iowa's 3rd District Dave Funk will be in studio.",source-only-candidate,,,2010-05-25 (6d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=143
2010-06-07,156,Of Moose and Men,"Invasive Ants, fallout from the last show and, you know, Jesus stuff.",matched-one-master,2010-06-08,2010/20100608-05.mp3,2010-06-08 (1d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=156
2010-06-14,165,Homemade Fig Newtons,"Facebook diving, adventures in babysitting, and discussion with the man that lives in the shadows of the spice master, Mr. Dash.",matched-one-master,2010-06-15,2010/20100615-09.mp3,2010-06-15 (1d) | 2010-06-08 (6d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=165
2010-06-21,181,Fable of the Used Donkey Dealer,Full studio tonight. John Stamos will be watching (but won't admit to it) and debate as to what potentially scandalous nickname Methuselah went by.,matched-one-master,2010-06-22,2010/20100622-03.mp3,2010-06-22 (1d) | 2010-06-15 (6d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=181
2010-06-28,200,Sampson: The Biblical Vuvuzela?,"We'll review YouTube submissions from last week's question, hit Q&A; in the last hour, and discuss why Spiro Agnew Peanut Spread is only sold in Ecuador. Also on tap, guest Tim Johnson.",matched-one-master,2010-06-29,2010/20100629-04.mp3,2010-06-29 (1d) | 2010-06-22 (6d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=200
2010-07-05,218,Zacchaeus Had A Thin Moustache,"After a weekend of brats, booze, and regrettable tan lines, come join us for some of that Jesus talk you know you've been hankering for. (Our perspective may be slightly different from that of your great Uncle Willie, who is close to dying and might be laying it on a little thick. Or he might be dead on, who's to say?)",matched-one-master,2010-07-06,2010/20100706-03.mp3,2010-07-06 (1d) | 2010-06-29 (6d) | 2010-07-12 (7d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=218
2010-07-12,235,Prayer for the Winking Pirate or Jesus Never Played the West End,"Ted Danson is slated to guest host as we talk about prayer, pompous displays of prayer-like behavior, and why it's best to buy Cherries local and organic. (Hint: Maraschino doesn't mean the same thing in all languages.)",matched-one-master,2010-07-12,2010/07122010.mp3,2010-07-12 (0d) | 2010-07-06 (6d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=235
2010-07-19,259,"Tattoos, Fistacuffs, and Milk Duds: Guaranteed Regrets","This week bands On This Rock and Next Crossing will be in the studio. Plus we'll continue last week's discussion about prayer, the consistency of God, and the plain fact that ""Trotsky"" spelled backwards is ""ykstort"", which is Romanian for ""shoe horn"" and English for ""I just lacerated my pinkie toe with the edge of the air register.""",matched-multiple-masters-review,2010-07-20 | 2010-07-20,2010/20100720-03.mp3 | 2010/20100720.mp3,2010-07-20 (1d) | 2010-07-20 (1d) | 2010-07-12 (7d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=259
2010-07-26,293,Jesus as the Janitor,Bands Certainty and Saved on Sunday will be in the studio.,matched-one-master,2010-07-27,2010/20100727-06.mp3,2010-07-27 (1d) | 2010-07-20 (6d) | 2010-07-20 (6d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=293
2010-08-02,351,Identity Crisis of the Bad Samaritan,Tim Cooper and Friends and Vance Lambert perform!,matched-one-master,2010-08-03,2010/20100803.mp3,2010-08-03 (1d) | 2010-07-27 (6d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=351
2010-08-09,399,Jehosaphat Wasn't Really a Jumper,"Mike Demastus and Troy ""The Situation"" Engeldinger will be in studio.",matched-one-master,2010-08-10,2010/20100810.mp3,2010-08-10 (1d) | 2010-08-03 (6d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=399
2010-08-16,439,Lot and Too Much Sodium,"3 person panel on how to turn your empty can or Aqua Net into a formal and functional means of drug trafficking. Plus, a clerk with sharp incisors at the blood bank and how the concept of ""popping a wheelie"" on a unicycle falls flat.",matched-one-master,2010-08-17,2010/20100817.mp3,2010-08-17 (1d) | 2010-08-10 (6d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=439
2010-08-23,468,From Saul to Paul: God will step in if He has to,"Band By Its Right Name will be in studio promoting their new album ""Hearsay"" which drops on Wednesday 8/25. Also, the phones are live and you should be to, your calls on Monday night.",matched-one-master,2010-08-24,2010/20100824.mp3,2010-08-24 (1d) | 2010-08-17 (6d) | 2010-08-30 (7d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=468
2010-08-30,515,Sittin' In Your Own Pew (And Doin' Nothing Else),"Special guest Rick Lee will be in the studio and we'll be talking about taking action for God. If Jesus ran a gas station, it would be called the Grab and Go, not the Sit and Soak.",matched-one-master,2010-08-30,2010/20100830.mp3,2010-08-30 (0d) | 2010-08-24 (6d) | 2010-09-06 (7d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=515
2010-09-06,560,"Potiphar, Hosea, and Winnie the Pooh","We discuss the chapter in the Bible that requires Bible pages be semi opaque and have gold leaf on side of them. Also, musician Jim Scott joins us in the studio for some live music.",matched-one-master,2010-09-06,2010/20100906.mp3,2010-09-06 (0d) | 2010-08-30 (7d) | 2010-09-13 (7d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=560
2010-09-13,588,Syndrome of Fire In Studio,"Syndrome of Fire is Cassie Goetzke (vocals), Ryan McMahan (guitar), Jamin Schrader (bass), Sonny Cutler (guitar, keys) and Tim Denner (drums). Static, their first EP debut, was released July 25, 2010 and is still available for purchase. After finishing their West Coast tour in November, SOF will devote much time to the making of their first full length album, Fast Train. The expected release date is spring of 2011.",matched-one-master,2010-09-13,2010/20100913.mp3,2010-09-13 (0d) | 2010-09-06 (7d) | 2010-09-20 (7d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=588
2010-09-20,634,The Man Show,"Where did the men go? Seriously, our culture seems to be trading out real men for flimsy, dufusy, malleable types that tread lightly, dream softly, and have ambitions of ""achieving"" the middle ground and doing whatever it takes not to embarass themselves. Enough! Our September 20th show will be focused on men. We'll be talking about the characteristics of some of the more notable Biblical men (some lessons in what not to do), where men are at in our culture, and ways to improve our impact as husbands, fathers, workers, and disciples.",matched-one-master,2010-09-20,2010/20100920 (1).mp3,2010-09-20 (0d) | 2010-09-13 (7d) | 2010-09-27 (7d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=634
2010-09-27,694,Godo Telefono - Prayer vs. Pancakes,"Prayer vs. Pancakes, Charity vs. Fishing, and witnessing at the atheist convention.",matched-one-master,2010-09-27,2010/20100927 (1).mp3,2010-09-27 (0d) | 2010-09-20 (7d) | 2010-10-04 (7d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=694
2010-10-04,752,"Why Bad Things Happen To, Uh, People","Century Music Group artist Jeff Arrandale will be in studio as we discuss the difference between being a servant vs. being a slave. Also, we'll tackle the age old question of why bad things happen to good people.",matched-one-master,2010-10-04,2010/20101004 (1).mp3,2010-10-04 (0d) | 2010-09-27 (7d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=752
2010-10-11,798,Tyson vs. Holyfield,,source-only-candidate,,,2010-10-15 (4d) | 2010-10-04 (7d) | 2010-10-18 (7d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=798
2010-10-25,966,Why Do I Need To Go To Church?,"The church is full of hypocrites, liars, swindlers, and cheats. They only want me to come so they can take my money and control my life. Jesus is cool, though. I can follow him without having to hang around all those jokers in the church. Do you ever feel that way? Is it possible to follow Christ without being part of a church body? We'll see what the Bible says about this, what steps you can and should take if you're in an unhealthy church situation, and how to reconcile the sometimes errant behavior of God's people within the church with how God himself sees the church.",matched-one-master,2010-10-25,2010/20101025 (1).mp3,2010-10-25 (0d) | 2010-10-18 (7d) | 2010-11-01 (7d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=966
2010-11-01,1009,Where Do I Start?,"Let's say you or someone you know is God curious. You feel like He might exist or you're interested in a closer relationship with Him and you don't quite know what to do from there. Well, we're here to help. Now, let's be clear, this is a personal relationship with God we're talking about so no amount of effort on our end will make a lick of difference as to how close you are to God. Anyone of this earth that puts themselves as an intermediary between you and God is a charlatan. That being said, as Christ followers, we can share our experiences with you, provide relevant Biblical passages about having a relationship with Christ, and be encouraging and there to answer questions. This will be ""I'm Christ Curious 101 - Where Do I Start?"" and we would invite you to come along with us and pass the invitation on to anyone you know that is thinking about starting or renewing a relationship with Jesus. I'm excited about this one, folks, and look forward to seeing you there.",matched-one-master,2010-11-01,2010/20101101 (1).mp3,2010-11-01 (0d) | 2010-10-25 (7d) | 2010-11-08 (7d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=1009
2010-11-08,1087,Suicide,,matched-one-master,2010-11-08,2010/20101108 (1).mp3,2010-11-08 (0d) | 2010-11-01 (7d) | 2010-11-15 (7d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=1087
2010-11-15,1126,Stop Crying! Loving God Without Weeping.,"Sometimes you turn on the TV and you see all of these people being portrayed as ""on fire"" for Christ weeping and laughing with hands in the air and bodies convulsing around like there's a fish in their BVDs. Now, I'm in no position to say that ain't the deal. But, I don't do that. Last time I convulsed involuntarily was in reaction to the tuna spring roll from the local sushi/laundromat/bait shop. So, am I missing out on following Christ correctly because I'm not a cryer? What does the Bible say about showing love for God? We're talking about it on this episode of Live From The Path.",matched-one-master,2010-11-15,2010/20101115 (1).mp3,2010-11-15 (0d) | 2010-11-08 (7d) | 2010-11-22 (7d),https://web.archive.org/web/20101123145012/http:/www.desmoinesamplified.com/show_date.asp?showid=56&id=1126
