canonical_year,proposed_episode_number,canonical_date,title,status,master_audio_source,preferred_local_file,rss_episode_id,review_flags
2010,1,2010-03-20,Might As Well Get Started,source-confirmed-audio-missing,missing,,,"Audio not yet recovered from RSS, local files, or public media"
2010,2,2010-03-27,Round II,source-confirmed-audio-missing,missing,,,"Audio not yet recovered from RSS, local files, or public media"
2010,3,2010-04-05,Ragu or Walgu?,source-confirmed-audio-missing,missing,,,"Audio not yet recovered from RSS, local files, or public media"
2010,4,2010-04-12,"Fast Food, the Holy Spirit, and Kidney Stones",source-confirmed-audio-missing,missing,,,"Audio not yet recovered from RSS, local files, or public media"
2010,5,2010-04-19,Something Different,source-confirmed-audio-missing,missing,,,"Audio not yet recovered from RSS, local files, or public media"
2010,6,2010-04-26,Who's Nelson?,source-confirmed-audio-missing,missing,,,"Audio not yet recovered from RSS, local files, or public media"
2010,7,2010-05-03,Series of Firsts,source-confirmed-audio-missing,missing,,,"Audio not yet recovered from RSS, local files, or public media"
2010,8,2010-05-10,Peanut Butter and Whiskey,source-confirmed-audio-missing,missing,,,"Audio not yet recovered from RSS, local files, or public media"
2010,9,2010-05-17,Clean Van With Nowhere To Go,source-confirmed-audio-missing,missing,,,"Audio not yet recovered from RSS, local files, or public media"
2010,10,2010-05-24,Clear With A Chance Of Cookies,local-only,local,"2010/20100525-04(songs Dan Doesn't know, cookies, and lots of illegal things such as theft).mp3",,
2010,11,2010-05-31,Clearly The Buick Was The Winner,source-confirmed-audio-missing,missing,,,"Audio not yet recovered from RSS, local files, or public media"
2010,12,2010-06-07,Of Moose and Men,local-only,local,2010/20100608-05.mp3,,
2010,13,2010-06-14,Homemade Fig Newtons,local-only,local,2010/20100615-09.mp3,,
2010,14,2010-06-21,Fable of the Used Donkey Dealer,local-only,local,2010/20100622-03.mp3,,
2010,15,2010-06-28,Sampson: The Biblical Vuvuzela?,local-only,local,2010/20100629-04.mp3,,
2010,16,2010-07-05,Zacchaeus Had A Thin Moustache,local-only,local,2010/20100706-03.mp3,,
2010,17,2010-07-12,Prayer for the Winking Pirate or Jesus Never Played the West End,local-only,local,2010/07122010.mp3,,
2010,18,2010-07-20,,local-only,local,2010/20100720.mp3,,One historical broadcast matches multiple retained master candidates
2010,19,2010-07-20,,local-only,local,2010/20100720-03.mp3,,One historical broadcast matches multiple retained master candidates
2010,20,2010-07-26,Jesus as the Janitor,local-only,local,2010/20100727-06.mp3,,
2010,21,2010-08-02,Identity Crisis of the Bad Samaritan,local-only,local,2010/20100803.mp3,,
2010,22,2010-08-09,Jehosaphat Wasn't Really a Jumper,local-only,local,2010/20100810.mp3,,
2010,23,2010-08-16,Lot and Too Much Sodium,local-only,local,2010/20100817.mp3,,
2010,24,2010-08-23,From Saul to Paul: God will step in if He has to,local-only,local,2010/20100824.mp3,,
2010,25,2010-08-30,Sittin' In Your Own Pew (And Doin' Nothing Else),local-only,local,2010/20100830.mp3,,
2010,26,2010-09-06,"Potiphar, Hosea, and Winnie the Pooh",local-only,local,2010/20100906.mp3,,
2010,27,2010-09-13,Syndrome of Fire In Studio,local-only,local,2010/20100913.mp3,,
2010,28,2010-09-20,The Man Show,local-only,local,2010/20100920 (1).mp3,,
2010,29,2010-09-27,Godo Telefono - Prayer vs. Pancakes,local-only,local,2010/20100927 (1).mp3,,
2010,30,2010-10-04,"Why Bad Things Happen To, Uh, People",local-only,local,2010/20101004 (1).mp3,,
2010,31,2010-10-11,Tyson vs. Holyfield,source-confirmed-audio-missing,missing,,,"Audio not yet recovered from RSS, local files, or public media | Content-compare with local 2010-10-15 recording before declaring audio missing"
2010,32,2010-10-15,,local-only,local,2010/20101015.mp3,,
2010,33,2010-10-18,,local-only,local,2010/20101018 (1).mp3,,
2010,34,2010-10-25,Why Do I Need To Go To Church?,local-only,local,2010/20101025 (1).mp3,,
2010,35,2010-11-01,Where Do I Start?,local-only,local,2010/20101101 (1).mp3,,
2010,36,2010-11-08,Suicide,local-only,local,2010/20101108 (1).mp3,,
2010,37,2010-11-15,Stop Crying! Loving God Without Weeping.,local-only,local,2010/20101115 (1).mp3,,
2010,38,2010-11-22,,local-only,local,2010/20101122 (1).mp3,,
2010,39,2010-11-29,,local-only,local,2010/20101129 (1).mp3,,
2010,40,2010-12-13,,local-only,local,2010/20101213 (1).mp3,,
2010,41,2010-12-20,,local-only,local,2010/20101220 (1).mp3,,
2010,42,2010-12-27,,local-only,local,2010/20101227 (1).mp3,,
2010,43,,Retro LFTP: Episode 1,local-only,local,2010/RetroLFTP -Episode1 (2016_10_07 00_26_59 UTC).mp3,,Exact episode date unresolved
2011,1,2011-01-02,,local-only,local,2011/20110102.mp3,,
2011,2,2011-01-17,,local-only,local,2011/20110117.mp3,,
2011,3,2011-01-24,,local-only,local,2011/20110124.mp3,,
2011,4,2011-02-01,,local-only,local,2011/20110201.mp3,,
2011,5,2011-02-21,,local-only,local,2011/20110221.mp3,,
2011,6,2011-02-28,,local-only,local,2011/20110228.mp3,,
2011,7,2011-03-07,,local-only,local,2011/20110307.mp3,,
2011,8,2011-03-21,,local-only,local,2011/20110321.mp3,,
2011,9,2011-03-21,,local-only,local,2011/20110321 (2016_10_07 00_26_59 UTC).mp3,,Preferred local audio is unreadable or has invalid media metadata
2011,10,2011-04-04,,local-only,local,2011/20110404.mp3,,
2011,11,2011-04-11,,local-only,local,2011/20110411.mp3,,
2011,12,2011-04-18,,local-only,local,2011/20110418.mp3,,
2011,13,2011-04-25,,local-only,local,2011/20110425.mp3,,
2011,14,2011-05-02,,local-only,local,2011/20110502.mp3,,
2011,15,2011-05-16,,local-only,local,2011/20110516.mp3,,
2011,16,2011-05-30,,local-only,local,2011/20110530.mp3,,
2011,17,2011-06-07,,local-only,local,2011/20110607.mp3,,
2011,18,2011-06-13,,local-only,local,2011/20110613.mp3,,
2011,19,2011-06-20,,local-only,local,2011/20110620.mp3,,
2011,20,2011-06-27,,local-only,local,2011/20110627LFTP.mp3,,
2011,21,2011-07-18,,local-only,local,2011/20110718 (1).mp3,,
2011,22,2011-07-18,,local-only,local,2011/20110718.mp3,,
2011,23,2011-07-25,,local-only,local,2011/20110725.mp3,,
2011,24,2011-08-01,,local-only,local,2011/20110801.mp3,,
2011,25,2011-08-16,,local-only,local,2011/20110816.mp3,,
2011,26,2011-08-22,,local-only,local,2011/20110822part2.mp3,,File appears to be one part of a multi-part episode
2011,27,2011-08-23,,local-only,local,2011/20110823part1.mp3,,File appears to be one part of a multi-part episode
2011,28,2011-08-29,,local-only,local,2011/20110829.mp3,,
2011,29,2011-09-05,,local-only,local,2011/20110905.mp3,,
2011,30,2011-09-12,,local-only,local,2011/20110912.mp3,,
2011,31,2011-09-19,,local-only,local,2011/20110919.mp3,,
2011,32,2011-09-27,,local-only,local,2011/20110927.mp3,,
2011,33,2011-10-03,,local-only,local,2011/20111003Part1.mp3,,File appears to be one part of a multi-part episode
2011,34,2011-10-03,,local-only,local,2011/20111003II.mp3,,Shares a date with an explicitly labeled multi-part file
2011,35,2011-10-03,,local-only,local,2011/20111003I.mp3,,Shares a date with an explicitly labeled multi-part file
2011,36,2011-10-10,,local-only,local,2011/20111010.mp3,,
2011,37,2011-10-17,,local-only,local,2011/20111017.mp3,,
2011,38,2011-10-24,,local-only,local,2011/20111024.mp3,,
2011,39,2011-10-31,,local-only,local,2011/20111031.mp3,,
2011,40,2011-11-07,,local-only,local,2011/20111107.mp3,,
2011,41,2011-11-21,,local-only,local,2011/20111121.mp3,,
2011,42,2011-11-28,,local-only,local,2011/20111128.mp3,,
2011,43,2011-12-05,,local-only,local,2011/20111205.mp3,,
2011,44,2011-12-12,,local-only,local,2011/20111212.mp3,,
2011,45,2011-12-20,,local-only,local,2011/20111220.mp3,,
2011,46,2011-12-26,,local-only,local,2011/20111226.mp3,,
2011,47,,,local-only,local,2011/Dec 22 Show.mp4,,Exact episode date unresolved
2012,1,2012-01-02,,local-only,local,2012/20120102 (1).mp3,,
2012,2,2012-01-09,,local-only,local,2012/20120109 - Jessa Anderson.mp3,,
2012,3,2012-01-16,,local-only,local,2012/20120116.mp3,,
2012,4,2012-01-23,,local-only,local,2012/20120123.mp3,,
2012,5,2012-01-30,,local-only,local,2012/20120130.mp3,,
2012,6,2012-02-13,,local-only,local,2012/20120213.mp3,,
2012,7,2012-02-20,,local-only,local,2012/20120220.mp3,,
