platform,media_id,title,publication_date,duration_seconds,url,candidate_disposition,matched_master_id,matched_master_date,match_score
youtube,xyOzrfyTWq4,"""Is This Love?"" game with Crystal Joy",,449,https://www.youtube.com/watch?v=xyOzrfyTWq4,supporting-clip-needs-episode-link,,,0.48
youtube,YgfMUC2xk2Q,$20 and a Dilly Bar,,4820,https://www.youtube.com/watch?v=YgfMUC2xk2Q,likely-existing-episode-or-supporting-source,ep-009-d565002b68,2023-05-11,1.0
youtube,SojQCJuFTiM,06/28 Question - Atmosphere for Unbelievers,,90,https://www.youtube.com/watch?v=SojQCJuFTiM,supporting-clip-needs-episode-link,,,0.43
youtube,A_lRkxzFZI0,1 Year Compilation,,378,https://www.youtube.com/watch?v=A_lRkxzFZI0,supporting-clip-needs-episode-link,,,0.529
youtube,KBvQB0ocjfs,12 to 13 Mistakes From Wildin,,5307,https://www.youtube.com/watch?v=KBvQB0ocjfs,likely-existing-episode-or-supporting-source,ep-005-ba147a8b5d,2022-03-15,1.0
youtube,jPq2278wFW0,14 to 25 Mistakes From Wildin’,,5922,https://www.youtube.com/watch?v=jPq2278wFW0,likely-existing-episode-or-supporting-source,ep-007-6958a2d9cc,2022-04-04,1.0
youtube,rpAbL58hPbo,2 Year Anniversary Video,,308,https://www.youtube.com/watch?v=rpAbL58hPbo,supporting-clip-needs-episode-link,,,0.471
youtube,8BUK8yMd7t8,2012 Christmas Extravaganza,,3416,https://www.youtube.com/watch?v=8BUK8yMd7t8,long-form-needs-date-reconciliation,,,0.481
youtube,u2C9kd90MiA,2015 Opening,,60,https://www.youtube.com/watch?v=u2C9kd90MiA,supporting-clip-needs-episode-link,,,0.5
youtube,-NrqQogfNCY,2021 Episode 14 | The Heavy,,5415,https://www.youtube.com/watch?v=-NrqQogfNCY,likely-existing-episode-or-supporting-source,ep-014-93b25ad8a9,2021-06-23,1.0
youtube,hSZJdTlCW4I,2021 Episode 15 | Rebuilding Tower of Babel,,5415,https://www.youtube.com/watch?v=hSZJdTlCW4I,likely-existing-episode-or-supporting-source,ep-015-e04ab2e09a,2021-07-19,1.0
youtube,12dWWW9Dbec,2022 Episode 11 | Live From The Path,,69,https://www.youtube.com/watch?v=12dWWW9Dbec,likely-existing-episode-or-supporting-source,ep-011-c2cb878d4b,2022-05-16,1.0
youtube,9bKfdIT27Xc,2022 Episode 25 | John Paul Burch,,5585,https://www.youtube.com/watch?v=9bKfdIT27Xc,likely-existing-episode-or-supporting-source,ep-025-25fbab51ce,2022-10-05,1.0
youtube,A6q9u6NUXo4,2024 Episode539,,5469,https://www.youtube.com/watch?v=A6q9u6NUXo4,long-form-needs-date-reconciliation,,,0.522
youtube,OYUfFJ9IVSU,3 Songwriters Walk Into a Show,,4771,https://www.youtube.com/watch?v=OYUfFJ9IVSU,likely-existing-episode-or-supporting-source,ep-010-eae4cd9b9a,2025-05-06,1.0
youtube,tVAx1ByVg5E,30 Below - All This Time,,184,https://www.youtube.com/watch?v=tVAx1ByVg5E,supporting-clip-needs-episode-link,,,0.512
youtube,Zoe_lsWC76k,5 Ways You're Reading Revelation Wrong,,1138,https://www.youtube.com/watch?v=Zoe_lsWC76k,supporting-clip-needs-episode-link,,,0.774
youtube,XrKhVbjQuUk,500-ish,,5618,https://www.youtube.com/watch?v=XrKhVbjQuUk,likely-existing-episode-or-supporting-source,ep-008-998bae9fb4,2023-04-28,1.0
youtube,RxiaFattnMc,500-ish | 2023 Episode 08,,5587,https://www.youtube.com/watch?v=RxiaFattnMc,likely-existing-episode-or-supporting-source,ep-008-998bae9fb4,2023-04-28,1.0
youtube,huaAuEAIuvQ,7/5 Question,,165,https://www.youtube.com/watch?v=huaAuEAIuvQ,supporting-clip-needs-episode-link,,,0.5
youtube,riZNWzliSeM,A Bit Cavalier,,5572,https://www.youtube.com/watch?v=riZNWzliSeM,likely-existing-episode-or-supporting-source,ep-017-4da0d85c53,2023-08-07,1.0
youtube,y-r6_L7DoLQ,"A Broader Perspective: Don't Know Jesus, Can't See The Car",,129,https://www.youtube.com/watch?v=y-r6_L7DoLQ,supporting-clip-needs-episode-link,,,0.477
youtube,dSWbLfBOe0g,A Christian Mid-Life Crisis,,5975,https://www.youtube.com/watch?v=dSWbLfBOe0g,likely-existing-episode-or-supporting-source,ep-007-7e7fa93ff6,2025-04-15,1.0
youtube,MVibYKpytOc,A Confession,,4383,https://www.youtube.com/watch?v=MVibYKpytOc,likely-existing-episode-or-supporting-source,ep-001-452c2f0173,2024-01-16,1.0
youtube,yRDXpWyMo3k,A Confession | 2024 Episode 01,,4379,https://www.youtube.com/watch?v=yRDXpWyMo3k,likely-existing-episode-or-supporting-source,ep-001-452c2f0173,2024-01-16,1.0
youtube,ikMU1lqgeNY,A Gray Area,,5171,https://www.youtube.com/watch?v=ikMU1lqgeNY,likely-existing-episode-or-supporting-source,ep-024-7a7648d733,2023-10-31,1.0
youtube,sxa3p2o8W0w,A Sad Little Church Joke by Ben,,68,https://www.youtube.com/watch?v=sxa3p2o8W0w,supporting-clip-needs-episode-link,,,0.471
youtube,P2Z2DcsI5aA,A little advice on contentment and budgeting,,95,https://www.youtube.com/watch?v=P2Z2DcsI5aA,supporting-clip-needs-episode-link,,,0.474
youtube,JbzVct5nZPo,"Acid, Stupidity and Russia",,3728,https://www.youtube.com/watch?v=JbzVct5nZPo,likely-existing-episode-or-supporting-source,ep-008-0668d205b8,2022-04-04,1.0
youtube,iZz0-FVd3r0,Adam Cates - Can You Hear Me Jesus,,238,https://www.youtube.com/watch?v=iZz0-FVd3r0,supporting-clip-needs-episode-link,,,0.554
youtube,MHL77IIdEG0,Adam Cates - January,,206,https://www.youtube.com/watch?v=MHL77IIdEG0,supporting-clip-needs-episode-link,,,0.429
