canonical_year,proposed_episode_number,canonical_date,date_source,reported_episode_number,title,status,rss_episode_id,master_audio_source,master_source_reference,preferred_local_file,master_relative_path,metadata_flags,review_flags
2010,32,,unresolved,1,Retro LFTP: Episode 1,local-only,,local,2010/RetroLFTP -Episode1 (2016_10_07 00_26_59 UTC).mp3,2010/RetroLFTP -Episode1 (2016_10_07 00_26_59 UTC).mp3,Master/2010/00-unknown-date/2010-00-00__S2010E032__retro-lftp-episode-1.mp3,Reported episode number differs from date-order sequence,Exact episode date unresolved
2011,9,2011-03-21,filename+year-folder,,,local-only,,local,2011/20110321 (2016_10_07 00_26_59 UTC).mp3,2011/20110321 (2016_10_07 00_26_59 UTC).mp3,Master/2011/03/2011-03-21__S2011E009__episode.mp3,Metadata read issue: HeaderNotFoundError: can't sync to MPEG frame | Title missing from embedded metadata,Preferred local audio is unreadable or has invalid media metadata
2011,26,2011-08-22,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110822part2.mp3,2011/20110822part2.mp3,Master/2011/08/2011-08-22__S2011E026__episode.mp3,Title missing from embedded metadata,File appears to be one part of a multi-part episode
2011,27,2011-08-23,file-modified-year+filename+year-folder,,,local-only,,local,2011/20110823part1.mp3,2011/20110823part1.mp3,Master/2011/08/2011-08-23__S2011E027__episode.mp3,Title missing from embedded metadata,File appears to be one part of a multi-part episode
2011,33,2011-10-03,file-modified-year+filename+year-folder,,,local-only,,local,2011/20111003Part1.mp3,2011/20111003Part1.mp3,Master/2011/10/2011-10-03__S2011E033__episode.mp3,Title missing from embedded metadata,File appears to be one part of a multi-part episode
2011,34,2011-10-03,file-modified-year+filename+year-folder,,,local-only,,local,2011/20111003II.mp3,2011/20111003II.mp3,Master/2011/10/2011-10-03__S2011E034__episode.mp3,Title missing from embedded metadata,Shares a date with an explicitly labeled multi-part file
2011,35,2011-10-03,file-modified-year+filename+year-folder,,,local-only,,local,2011/20111003I.mp3,2011/20111003I.mp3,Master/2011/10/2011-10-03__S2011E035__episode.mp3,Title missing from embedded metadata,Shares a date with an explicitly labeled multi-part file
2011,47,,unresolved,,,local-only,,local,2011/Dec 22 Show.mp4,2011/Dec 22 Show.mp4,Master/2011/00-unknown-date/2011-00-00__S2011E047__episode.mp4,Title missing from embedded metadata,Exact episode date unresolved
2012,8,2012-02-27,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120227(1).mp3,2012/20120227(1).mp3,Master/2012/02/2012-02-27__S2012E008__episode.mp3,Title missing from embedded metadata,Same-date numbered files may be parts of one episode
2012,9,2012-02-27,file-modified-year+filename+year-folder,,,local-only,,local,2012/20120227(2).mp3,2012/20120227(2).mp3,Master/2012/02/2012-02-27__S2012E009__episode.mp3,Title missing from embedded metadata,Same-date numbered files may be parts of one episode
